"Date" "AAPL" "AXP" "BA" "CAT" "CSCO"
"2011-09-13" 39.210876 43.647392 53.000198 66.957207 13.232688
"2011-09-20" 38.404995 42.643173 51.232143 60.823418 12.815909
"2011-09-27" 35.683491 38.984966 48.125668 55.837254 12.174718
"2011-10-04" 37.037094 40.751297 52.901054 62.627926 13.697556
"2011-10-11" 40.007229 40.623791 51.042118 64.519524 13.816248
"2011-10-18" 38.65266 44.945484 53.495914 72.631958 14.113977
"2011-10-25" 38.558365 45.575714 54.35516 75.174812 14.910604
"2011-11-01" 38.077305 46.142952 54.768261 75.604568 14.492176
"2011-11-08" 36.12738 44.522312 56.131477 76.822174 15.240524
"2011-11-15" 35.150993 41.470119 54.51049 72.516716 14.484127
"2011-11-22" 35.828285 41.425106 54.036568 72.803223 14.492176
"2011-11-29" 37.43718 43.919079 59.108475 77.076859 15.119822
"2011-12-06" 37.325726 43.117756 58.950489 74.203888 14.910604
"2011-12-13" 36.40839 41.452114 58.335209 69.436813 14.23468
"2011-12-20" 38.420235 43.171791 61.503082 73.416016 14.862329
"2011-12-27" 38.579315 42.469517 60.987591 72.102875 14.548501
"2012-01-03" 40.17297 43.56794 61.968712 77.27581 15.264657
"2012-01-10" 39.990093 44.968693 62.026913 81.557411 15.388148
"2012-01-17" 40.714039 44.679516 62.783531 84.653221 16.009811
"2012-01-24" 43.152634 44.390324 61.66106 88.261177 15.79183
"2012-01-31" 44.196655 46.821308 62.74194 90.955124 16.300461
"2012-02-07" 47.876461 47.056267 62.234772 90.891151 16.171284
"2012-02-14" 47.83073 47.770199 63.019241 91.091026 16.381193
"2012-02-21" 50.08263 48.9631 62.902134 92.434021 16.284309
"2012-02-28" 50.787521 47.869606 61.998852 88.005363 15.824124
"2012-03-06" 52.582176 47.688854 61.555595 87.086067 16.009811
"2012-03-13" 57.259331 51.755573 63.061031 90.915169 16.260084
"2012-03-20" 57.819431 53.011723 62.877033 86.934181 16.825235
"2012-03-27" 58.929195 52.42432 62.86869 85.735107 17.107815
"2012-04-03" 60.605724 51.656162 60.57708 82.793327 16.114767
"2012-04-10" 55.261787 52.442451 60.78616 85.32737 15.989441
"2012-04-17" 54.458748 51.979965 60.936699 85.455292 15.948928
"2012-04-24" 55.628525 54.600735 64.231934 82.501297 16.337919
"2012-05-01" 54.247292 54.500973 63.5294 78.02182 15.462674
"2012-05-08" 53.174683 52.977486 61.154156 75.139839 13.541996
"2012-05-15" 53.466179 51.082203 60.385815 73.839348 13.509579
"2012-05-22" 53.562382 50.610638 58.888367 72.201683 13.234039
"2012-05-29" 53.752899 48.524906 56.785213 66.839119 13.055748
"2012-06-05" 54.408268 49.966789 58.980911 68.388489 13.355601
"2012-06-12" 55.799973 50.646912 60.486763 69.63279 13.890471
"2012-06-19" 54.370174 50.828281 59.771702 66.542107 13.72839
"2012-06-26" 56.442024 53.548794 61.563587 67.176323 13.841847
"2012-07-03" 58.477688 52.968418 62.278664 66.742813 13.556535
"2012-07-10" 57.812782 53.357719 61.386921 65.145294 13.182001
"2012-07-17" 57.519382 50.709858 61.336441 65.490479 13.084295
"2012-07-24" 56.681118 53.039234 62.976929 69.229385 12.921453
"2012-07-31" 59.302589 51.956436 61.319637 69.762619 13.589103
"2012-08-07" 60.012276 51.073811 62.413242 71.588478 14.118336
"2012-08-14" 65.315208 51.774448 62.110416 73.066925 15.421066
"2012-08-21" 66.349197 52.247604 60.409435 69.9888 15.763038
"2012-08-28" 65.324036 53.048347 60.426361 68.938538 15.535053
"2012-09-04" 65.078552 52.3386 60.155556 70.368538 15.592051
"2012-09-11" 68.715752 53.849075 59.17382 74.319191 15.600193
"2012-09-18" 67.83297 52.475086 59.266918 73.414337 15.315218
"2012-09-25" 64.749588 52.52969 59.249992 69.05162 15.502485
"2012-10-02" 62.665882 53.521496 59.723927 69.02739 15.388496
"2012-10-09" 62.331036 52.586231 61.145725 66.902611 15.215402
"2012-10-16" 62.25935 51.810081 62.372864 68.736572 14.920118
"2012-10-23" 59.310501 50.906094 60.180923 68.477028 14.181906
"2012-10-30" 57.407455 51.4631 59.588512 70.525253 14.272126
"2012-11-06" 53.303844 50.696079 62.364407 69.232933 13.829202
"2012-11-13" 57.3787 50.431282 61.274647 67.964981 15.010345
"2012-11-20" 59.792591 50.851307 63.241623 68.802155 15.633729
"2012-11-27" 59.453831 51.125244 63.028755 68.672104 15.609118
"2012-12-04" 53.736553 51.819214 64.314537 70.899155 16.352612
"2012-12-11" 52.621895 52.294025 63.56522 72.857948 16.617031
"2012-12-18" 52.757809 52.531445 64.689194 71.102325 16.385664
"2012-12-25" 53.974899 52.48579 64.169777 73.253113 16.236931
"2013-01-01" 53.136124 54.659004 64.825432 77.830902 16.765762
"2013-01-08" 50.889572 56.086853 65.18309 77.356789 17.327652
"2013-01-15" 50.712086 54.776535 63.897285 79.801025 17.368971
"2013-01-22" 45.623638 54.125969 63.011707 79.662041 17.402023
"2013-01-29" 44.861942 54.437508 64.042046 80.324196 17.203709
"2013-02-05" 48.676506 56.792404 64.604057 78.967209 17.575544
"2013-02-12" 48.644348 56.52668 63.88876 78.157913 17.344177
"2013-02-19" 46.809193 56.829063 64.299141 72.885254 17.071497
"2013-02-26" 44.404247 57.626236 66.064529 73.367554 17.137604
"2013-03-05" 46.288033 60.017776 71.077866 74.536537 18.079594
"2013-03-12" 48.174988 60.274357 72.99749 73.048759 17.906069
"2013-03-19" 49.005886 60.567589 72.714691 70.825233 17.228498
"2013-03-26" 45.340855 61.630486 73.057495 70.007767 17.211971
"2013-04-02" 45.055424 60.109413 74.342957 68.822449 16.997133
"2013-04-09" 44.383114 58.909149 74.360092 67.25293 17.534363
"2013-04-16" 42.144138 61.261848 74.505806 67.612602 17.15119
"2013-04-23" 45.468765 62.153282 78.756409 69.766403 17.476051
"2013-04-30" 48.702488 64.38652 80.718895 72.061775 17.33445
"2013-05-07" 48.071392 64.138367 81.207359 72.456688 17.717621
"2013-05-14" 49.082119 68.375046 85.03611 72.670586 19.950027
"2013-05-21" 49.328129 69.174606 86.138672 70.92643 19.600172
"2013-05-28" 49.945351 70.27742 86.776085 70.860619 20.308212
"2013-06-04" 48.634453 71.940865 88.068184 68.94368 20.291548
"2013-06-11" 47.870945 67.860382 88.74868 69.042404 20.574768
"2013-06-18" 44.60643 66.178596 84.28669 67.067886 20.041655
"2013-06-25" 45.346634 69.514648 88.929588 68.055153 20.274889
"2013-07-02" 45.992683 70.801262 89.902946 68.450073 20.660755
"2013-07-09" 47.365639 71.763885 91.014114 71.905464 21.751257
"2013-07-16" 47.240433 68.878578 92.047775 70.75367 21.5751
"2013-07-23" 49.620686 69.191994 90.281952 68.778084 21.24795
"2013-07-30" 52.020863 69.994003 92.59906 69.225471 22.070021
"2013-08-06" 51.789276 69.588387 89.790955 71.512001 22.095184
"2013-08-13" 58.971622 68.528282 90.614998 69.755676 20.358772
"2013-08-20" 58.41761 67.855339 91.315903 69.225471 19.989683
"2013-08-27" 56.58831 66.288269 89.922745 68.380447 19.55348
"2013-09-03" 58.789276 67.901451 92.752304 70.907227 20.06518
"2013-09-10" 52.279324 69.689812 100.090126 72.224464 20.451048
"2013-09-17" 56.985535 70.464127 101.682289 70.443306 20.358772
"2013-09-24" 55.372272 69.616028 101.673622 69.092911 19.654144
"2013-10-01" 56.649872 67.23774 100.972725 69.200607 19.201166
"2013-10-08" 57.612717 70.336113 103.369629 71.445724 19.721745
"2013-10-15" 60.553528 74.339722 105.108894 72.655266 19.375303
"2013-10-22" 61.543068 76.521805 112.386139 70.310966 19.054213
"2013-10-29" 61.179546 75.754402 114.90416 69.985603 19.079557
"2013-11-05" 60.285217 75.264343 114.679184 70.202507 19.814688
"2013-11-12" 62.787613 76.133484 120.160248 70.110733 17.98954
"2013-11-19" 63.406246 78.213882 115.505295 70.411064 17.972645
"2013-11-26" 66.734314 78.861115 116.512718 70.285934 17.820547
"2013-12-03" 68.574486 79.286453 116.964294 71.820953 17.930391
"2013-12-10" 67.493378 78.149147 116.999054 72.897148 17.474106
"2013-12-17" 69.017593 81.653481 118.458061 75.049538 18.226135
"2013-12-24" 67.132591 82.837006 118.041214 75.808693 18.800716
"2013-12-31" 65.850533 82.938721 120.203667 73.948318 18.597927
"2014-01-07" 64.857819 80.432976 122.192444 74.991119 18.893215
"2014-01-14" 65.455879 84.330025 121.984009 76.284203 19.361498
"2014-01-21" 66.645943 79.463242 119.291771 77.159973 18.731445
"2014-01-28" 60.717407 76.812004 106.890175 78.115074 18.348299
"2014-02-04" 64.041847 81.891991 110.433487 79.873123 19.438131
"2014-02-11" 68.720093 82.50383 113.038857 81.605812 19.208244
"2014-02-18" 66.643288 83.356682 113.178612 82.25663 18.833614
"2014-02-25" 66.669823 83.403023 111.982117 81.402962 18.365332
"2014-03-04" 67.068993 86.860771 110.820541 81.774864 18.467501
"2014-03-11" 66.540955 84.598862 109.536705 80.862022 18.314243
"2014-03-18" 68.113724 84.367126 107.789986 81.859375 18.365332
"2014-03-25" 67.804207 83.458641 109.597832 83.989319 19.089045
"2014-04-01" 66.127869 80.278976 109.685173 85.459984 19.455156
"2014-04-08" 65.901756 79.45974 107.64151 86.871521 19.621439
"2014-04-15" 67.100571 80.547096 111.632767 86.753181 20.093729
"2014-04-22" 75.049004 80.909546 110.951553 88.641342 19.767424
"2014-04-29" 75.916885 81.188354 115.248489 88.862358 19.715899
"2014-05-06" 74.889862 83.325882 115.807419 90.290703 19.913406
"2014-05-13" 79.465065 81.894661 115.359383 89.602028 20.9095
"2014-05-20" 80.718971 82.508026 116.290352 88.445793 21.055481
"2014-05-27" 82.627434 85.398323 119.355476 88.216225 21.278742
"2014-06-03" 86.209076 88.818352 121.164696 92.458679 21.295919
"2014-06-10" 84.828972 87.703117 116.404526 90.809334 21.064072
"2014-06-17" 83.568497 88.762589 114.92028 92.484215 21.210051
"2014-06-24" 85.50061 88.167786 111.740967 92.390686 21.338861
"2014-07-01" 88.297592 88.660362 113.374504 93.657494 21.665165
"2014-07-08" 88.739197 87.861107 113.75219 93.597946 22.012251
"2014-07-15" 86.429893 86.556335 112.680695 93.717003 22.367006
"2014-07-22" 91.103737 85.605797 108.078621 89.107712 22.427576
"2014-07-29" 87.947975 81.011436 105.329674 87.10569 21.778631
"2014-08-05" 88.315987 81.03009 106.093765 89.407166 21.830547
"2014-08-12" 91.686363 81.225792 110.429626 91.528976 21.311388
"2014-08-19" 93.886971 83.490356 113.389633 92.376007 21.37196
"2014-08-26" 94.77462 83.453072 112.03775 93.317123 21.622885
"2014-09-02" 90.946655 82.87529 113.080376 92.324677 21.588274
"2014-09-09" 93.970192 81.430786 111.60479 89.715164 21.683451
"2014-09-16" 93.443146 82.931183 113.637024 86.327133 21.605577
"2014-09-23" 92.564751 81.962013 113.778397 85.411659 21.735371
