"Date" "S&P 500" "FTSE 100" "CAC 40" "DAX 30"
1990-12-21 367.1 686.78 1695.92 1409.26
1990-12-22 368.91 688.58 1708.2 1414.88
1990-12-25 367.13 686.15 1708.2 1414.88
1990-12-26 367.13 686.15 1708.2 1414.88
1990-12-27 368.21 686.15 1678.62 1414.88
1990-12-28 365.37 689.81 1669.9 1410.87
1990-12-29 365.96 687.33 1657.91 1398.23
1991-01-01 367.63 684.32 1657.91 1398.23
1991-01-02 367.63 684.32 1657.91 1398.23
1991-01-03 363.44 679.4 1643.9 1366.1
1991-01-04 358.4 676.07 1681.48 1366.65
1991-01-05 357.5 678.69 1690.39 1396.07
1991-01-08 351.39 674.65 1648.75 1358.16
1991-01-09 350.79 670.36 1643.18 1353.95
1991-01-10 347.02 679.59 1697.21 1375.16
1991-01-11 350.4 673.17 1647.9 1383.4
1991-01-12 351.19 672.32 1634.61 1382.26
1991-01-15 348.22 664.99 1576.34 1327.8
1991-01-16 349.61 661.79 1593.94 1325.62
1991-01-17 352.35 656.75 1594.49 1322.68
1991-01-18 365.5 672.47 1706.82 1422.67
1991-01-19 370.28 671.9 1706.61 1405.06
1991-01-22 368.98 665.88 1699.27 1390.2
1991-01-23 365.92 665.13 1693.88 1375.12
1991-01-24 368.05 664.78 1665.16 1358.76
1991-01-25 373.21 670.83 1699.49 1375.16
1991-01-26 374.66 672.07 1709.59 1382.05
1991-01-29 374.69 677.71 1712.53 1382.68
1991-01-30 374.58 676.3 1700.28 1380.26
1991-01-31 380.27 688.67 1730.86 1400.73
1991-02-01 383.64 694.29 1729.08 1420.08
1991-02-02 382.68 692.83 1726.25 1426.51
1991-02-05 388.86 695 1730.24 1435.03
1991-02-06 392.33 704.07 1757.21 1438.85
1991-02-07 399.95 702.19 1748.16 1428.69
1991-02-08 398.34 717.71 1748.54 1436.26
1991-02-09 401.56 718.26 1775.38 1467.82
1991-02-12 412.06 729.35 1791.29 1488.74
1991-02-13 408.68 724.77 1779.2 1468.94
1991-02-14 412.7 725.88 1789.7 1489.41
1991-02-15 407.35 734.6 1808.12 1486.52
1991-02-16 412.84 735.12 1827.49 1531.19
1991-02-19 412.84 742.02 1854.38 1572.57
1991-02-20 413.24 739.97 1860.91 1587.13
1991-02-21 408.5 735.1 1852.31 1567.32
1991-02-22 408.31 740.05 1870.53 1566.32
1991-02-23 409.18 740.94 1878.36 1582.52
1991-02-26 411.12 749.97 1909.31 1601.15
1991-02-27 406.21 745.65 1873.36 1558.24
1991-02-28 411.75 753.91 1893.83 1565.52
1991-03-01 411.08 764.36 1925.31 1542.09
1991-03-02 414.92 766.39 1911.08 1516.74
1991-03-05 413.78 765.27 1932.91 1530.86
1991-03-06 422.1 776.9 1969.99 1540.26
1991-03-07 421.5 789.78 1992.28 1594.32
1991-03-08 421.25 782.81 2004.15 1580.46
1991-03-09 420.24 788.19 2000.09 1602.29
1991-03-12 418.13 793.32 1965.69 1565.78
1991-03-13 414.87 791.82 1964.35 1571.61
1991-03-14 419.98 790.04 1948.7 1542.19
1991-03-15 418.79 806.44 1987.69 1576.55
1991-03-16 418.89 804.47 1969.83 1570.55
1991-03-19 417.24 803.35 1945.13 1552.85
1991-03-20 411.08 793.18 1904.72 1546.53
1991-03-21 412.57 787.44 1917.02 1517.92
1991-03-22 411.08 798.2 1937.92 1519.59
1991-03-23 412.28 787.54 1938.82 1520.29
1991-03-26 414.97 784.46 1940.36 1515.5
1991-03-27 422.23 786.33 1942.7 1498.44
1991-03-28 421.17 794.93 1966.75 1508.8
1991-03-29 421.03 792.42 1987.87 1522.8
1991-03-30 421.03 792.42 1987.87 1522.8
1991-04-02 416.74 792.42 1987.87 1522.8
1991-04-03 425.97 806.05 1999.63 1538.62
1991-04-04 425.38 815.83 2026.76 1577.5
1991-04-05 426.5 817.57 2009.6 1571.97
1991-04-06 421.55 824.35 2026.56 1586.87
1991-04-09 425.27 819.42 2022.03 1579.95
1991-04-10 419.57 818.49 2020.27 1582.11
1991-04-11 419.11 815.76 1988.48 1561.89
1991-04-12 424.15 819.87 1997.98 1565.37
1991-04-13 427.26 818.21 1993.43 1583.14
1991-04-16 428.23 824.99 1994.43 1601.42
1991-04-17 435.46 817.46 1973.15 1603.36
1991-04-18 438.65 825.78 2002.2 1623.83
1991-04-19 436.42 823.62 1987.19 1613.76
1991-04-20 431.65 817.62 1960.25 1599.37
1991-04-23 428.03 808.26 1934.07 1571.91
1991-04-24 428.94 812.5 1950.08 1597.05
1991-04-25 430.09 807.71 1950.3 1603.73
1991-04-26 426.17 805.34 1946.15 1620.45
1991-04-27 425.95 801.82 1943.59 1623.81
1991-04-30 420.01 811.11 1968.43 1620.28
1991-05-01 422.03 807.19 1948.53 1605.79
1991-05-02 427.59 814.45 1948.53 1605.79
1991-05-03 427.86 821.62 1997.87 1630.04
1991-05-04 428.23 819 2006.72 1631.84
1991-05-07 427.7 819 2002.84 1623.99
1991-05-08 424.81 824.05 2004.38 1627.46
1991-05-09 426.15 819.19 2004.38 1607.28
1991-05-10 431.68 825.28 2004.38 1607.28
1991-05-11 423.3 819.6 2026.39 1620.63
1991-05-14 424.57 807.33 2009.06 1610.9
1991-05-15 418.82 799.92 1977.43 1598.5
1991-05-16 415.43 798.48 1974.21 1590.35
1991-05-17 419.59 802.64 2000.15 1598.08
1991-05-18 420.03 797.01 2000.86 1598.87
1991-05-21 420 803.88 2000.86 1598.87
1991-05-22 423.51 809.04 2008.2 1617.4
1991-05-23 424.47 803.49 2006.05 1647.69
1991-05-24 423.1 809.11 1986.97 1652.71
1991-05-25 426.06 805.18 1977.24 1671.87
1991-05-28 426.06 805.18 1973.61 1681.45
1991-05-29 431.22 808.04 1980.51 1682.14
1991-05-30 432.19 812.29 2000.11 1681.53
1991-05-31 436.92 811.86 2013.19 1681.53
1991-06-01 440.24 814.45 2040.25 1704.11
1991-06-04 438.38 821.23 2048.4 1694.11
1991-06-05 438.07 818.31 2033.25 1685.38
1991-06-06 435.08 823.24 2046.03 1712.76
1991-06-07 433.46 824.05 2052.55 1704.17
1991-06-08 428.72 818.07 2041.11 1709.64
1991-06-11 427.89 819.96 2038.73 1704.92
1991-06-12 430.77 830.01 2070.27 1715.8
1991-06-13 425.8 822.73 2041.88 1700.84
1991-06-14 426.95 820.89 2042.16 1692.63
1991-06-15 432.21 823.42 2054.45 1699.83
1991-06-18 429.79 825.52 2039.72 1701.07
1991-06-19 428.08 822.92 2028.26 1695.42
1991-06-20 424.13 812.71 1992.32 1683.03
1991-06-21 424.51 811.22 1987.29 1687.03
1991-06-22 427.14 813.6 2001.67 1711.86
1991-06-25 419.66 804.14 1967.32 1691.56
1991-06-26 419.36 805.16 1967.22 1691.47
1991-06-27 420.44 797.09 1950.58 1672.14
